Image, UV length, XYZ length 
2021_07_13.CR2,254.40861024129163,72.65084787891834
2021_07_15.CR2,613.809719566903,185.36263070389907
2021_07_16.CR2,715.3016483873773,202.19554130478275
2021_07_17.CR2,749.0146780456275,203.32820388790583
2021_07_18.CR2,755.4980605719862,209.81054795504556
2021_07_19.CR2,811.6657722484748,231.49767953233365
2021_07_20.CR2,888.9940216167888,258.86456209369715
2021_07_21.CR2,900.9924018580917,250.51728535590112
2021_07_24.CR2,922.7955432496536,268.39599587734915
2021_07_25.CR2,948.0596779258165,264.5132070367776
2021_07_26.CR2,1034.4010526969387,287.5651683195999
2021_07_27.CR2,1067.923612262683,291.37828110134456
2021_07_28.CR2,1129.0259092374188,309.14376611603535
2021_07_29.CR2,1135.4217886194476,310.2637356325827
2021_07_30.CR2,1172.6633511867121,323.69275566436596
2021_07_31.CR2,1180.1962781973516,325.1368186548044
2021_08_01.CR2,1184.9473436201895,326.2578618440853
2021_08_02.CR2,1181.7066520552205,306.2286660495368
2021_08_03.CR2,1158.6486442401906,320.60069135616783
2021_08_05.CR2,3123.0648225927775,902.2378411185643
2021_08_06.CR2,3523.3443142615033,1029.7404269302097
2021_08_07.CR2,5151.451966808473,1062.807471377775
2021_08_09.CR2,4418.002916723913,873.3883839862206
2021_08_10.CR2,4889.423730835181,984.856076341951
2021_08_11.CR2,4963.491782194781,1010.0794929519068
2021_08_12.CR2,5060.450229081985,1055.9348268383087
2021_08_13.CR2,5004.519002859118,1039.3569110158073
2021_08_17.CR2,4897.172812052347,1101.3070506922863
2021_08_19.CR2,5375.051061507973,1258.4205758956375
2021_08_20.CR2,3044.8435651228015,982.4357045270161
2021_08_21.CR2,2983.06821270444,966.9957462536781
2021_08_22.CR2,1846.9311638746583,739.9001511186508
2021_08_23.CR2,1868.4828100590903,772.549651871037
2021_08_24.CR2,1860.6448830135005,768.4183926539508
